mission,session,experiment,when,stop_reason,verdict,steps,prompt_tokens,completion_tokens,reasoning_chars,tool_errors,bash_calls,wall_s
cartography,001,e01_endurance,2026-07-24T09:26:11Z,budget_tokens,fail,22,383893,16346,26600,0,10,510.9
cartography,002,e01_endurance,2026-07-24T09:31:08Z,provider_error,pass,12,80673,3886,5391,0,3,225.6
cartography,003,e01_endurance,2026-07-24T09:38:23Z,worker_end,pass,16,204325,10611,24439,0,7,383.2
cartography,004,e01_endurance,2026-07-24T09:55:27Z,worker_end,pass,6,25026,1657,2114,0,1,79.9
cartography,005,e02_context,2026-07-24T09:59:04Z,worker_end,pass,10,43613,1641,1839,0,5,82.5
cartography,006,e02_context,2026-07-24T10:00:33Z,worker_end,pass,6,32766,1513,1868,0,2,59.9
cartography,007,e02_context,2026-07-24T10:02:07Z,worker_end,pass,6,44997,1302,1078,0,1,45.7
cartography,008,e02_context,2026-07-24T10:05:17Z,worker_end,pass,12,66215,2495,3541,0,9,131.9
cartography,009,e02_context,2026-07-24T10:07:16Z,worker_end,pass,7,42212,1926,2141,0,3,94.5
cartography,010,e02_context,2026-07-24T10:08:36Z,worker_end,pass,7,40717,2115,2870,0,4,62.0
cartography,011,,2026-07-24T10:09:26Z,provider_error,fail,2,4472,245,416,0,5,33.2
cartography,012,e02_context,2026-07-24T10:16:22Z,worker_end,pass,11,125252,4042,8692,0,6,400.5
cartography,013,e03_thinking,2026-07-24T10:36:08Z,worker_end,pass,14,60599,2091,2917,1,17,330.5
cartography,014,e03_thinking,2026-07-24T10:32:46Z,worker_end,pass,8,65572,1943,2933,0,3,82.2
cartography,015,e03_thinking,2026-07-24T10:35:13Z,worker_end,pass,8,35390,2394,3923,0,5,124.4
cartography,016,e03_thinking,2026-07-24T10:39:32Z,worker_end,pass,6,33864,4730,9726,0,5,125.2
cartography,017,e03_thinking,2026-07-24T10:44:47Z,worker_end,pass,9,96128,11341,23136,0,6,300.9
cartography,018,,2026-07-24T10:46:44Z,provider_error,fail,2,4251,326,563,0,0,39.2
cartography,019,,2026-07-24T10:47:41Z,provider_error,fail,2,4184,255,395,0,3,28.5
cartography,020,,2026-07-24T10:50:51Z,provider_error,fail,0,0,0,0,0,0,20.9
cartography,021,e03_thinking,2026-07-24T11:26:59Z,worker_end,pass,9,27806,1144,777,0,5,310.1
cartography,022,e02_context,2026-07-24T12:00:56Z,worker_end,pass,7,26284,2249,4250,0,5,83.7
cartography,023,e02_context,2026-07-24T12:02:07Z,worker_end,pass,6,44501,1674,2190,0,3,45.9
cartography,024,,2026-07-24T12:02:59Z,provider_error,fail,2,4414,304,399,0,4,28.5
cartography,025,e03_thinking,2026-07-24T13:26:06Z,worker_end,pass,10,83245,7944,23176,0,5,299.5
cartography,026,e03_thinking,2026-07-24T13:29:28Z,worker_end,pass,10,42770,2284,3366,0,4,108.3
cartography,027,e03_thinking,2026-07-24T13:31:40Z,worker_end,pass,9,42512,2624,4906,0,6,97.3
cartography,028,e03_thinking,2026-07-24T13:35:46Z,provider_error,pass,10,57624,4441,9900,1,4,209.1
cartography,029,e02_context,2026-07-24T13:37:59Z,worker_end,pass,10,45210,1636,1314,0,16,101.2
cartography,030,,2026-07-24T13:38:42Z,provider_error,fail,0,0,0,0,0,0,19.4
cartography,031,,2026-07-24T17:24:32Z,provider_error,fail,1,1992,159,324,0,2,29.9
cartography,032,e02_context,2026-07-24T17:49:13Z,worker_end,pass,12,93823,2917,4925,0,6,252.8
cartography,033,e02_context,2026-07-24T17:51:03Z,provider_error,pass,4,12083,1012,1465,0,9,82.7
cartography,034,e02_context,2026-07-24T17:52:37Z,worker_end,pass,7,38029,1590,1820,0,2,69.0
cartography,035,e03_thinking,2026-07-24T17:54:20Z,provider_error,pass,5,15401,1281,2493,0,3,68.9
cartography,036,e03_thinking,2026-07-24T17:57:32Z,worker_end,pass,10,79181,3801,6640,1,6,159.3
cartography,037,,2026-07-24T17:58:35Z,provider_error,fail,2,4267,327,624,0,1,33.5
